miRNA,Gene
hsa-let-7a-5p,CCND1
hsa-let-7b-5p,CCND1
hsa-let-7c-5p,CCND1
hsa-let-7d-5p,CCND1
hsa-let-7e-5p,CCND1
hsa-let-7f-5p,CCND1
hsa-let-7g-5p,CCND1
hsa-let-7i-5p,CCND1
hsa-miR-106a-5p,CCND1
hsa-miR-106b-5p,CCND1
hsa-miR-1193,CCND1
hsa-miR-1234-3p,CCND1
hsa-miR-1253,CCND1
hsa-miR-1257,CCND1
hsa-miR-1271-5p,CCND1
hsa-miR-1299,CCND1
hsa-miR-138-5p,CCND1
hsa-miR-142-5p,CCND1
hsa-miR-147a,CCND1
hsa-miR-152-3p,CCND1
hsa-miR-155-5p,CCND1
hsa-miR-15a-5p,CCND1
hsa-miR-15b-5p,CCND1
hsa-miR-16-5p,CCND1
hsa-miR-17-5p,CCND1
hsa-miR-183-5p,CCND1
hsa-miR-18a-5p,CCND1
hsa-miR-18b-5p,CCND1
hsa-miR-1910-3p,CCND1
hsa-miR-193b-3p,CCND1
hsa-miR-195-5p,CCND1
hsa-miR-196a-5p,CCND1
hsa-miR-19a-3p,CCND1
hsa-miR-202-3p,CCND1
hsa-miR-206,CCND1
hsa-miR-20a-5p,CCND1
hsa-miR-20b-5p,CCND1
hsa-miR-216b-3p,CCND1
hsa-miR-24-3p,CCND1
hsa-miR-26b-5p,CCND1
hsa-miR-27a-3p,CCND1
hsa-miR-298,CCND1
hsa-miR-29a-3p,CCND1
hsa-miR-302a-3p,CCND1
hsa-miR-302c-3p,CCND1
hsa-miR-323b-3p,CCND1
hsa-miR-326,CCND1
hsa-miR-330-5p,CCND1
hsa-miR-340-5p,CCND1
hsa-miR-34a-5p,CCND1
hsa-miR-34b-3p,CCND1
hsa-miR-365a-3p,CCND1
hsa-miR-369-3p,CCND1
hsa-miR-374a-5p,CCND1
hsa-miR-374b-5p,CCND1
hsa-miR-383-5p,CCND1
hsa-miR-424-5p,CCND1
hsa-miR-4458,CCND1
hsa-miR-448,CCND1
hsa-miR-449a,CCND1
hsa-miR-4524a-5p,CCND1
hsa-miR-490-3p,CCND1
hsa-miR-491-3p,CCND1
hsa-miR-494-3p,CCND1
hsa-miR-497-5p,CCND1
hsa-miR-5010-3p,CCND1
hsa-miR-503-5p,CCND1
hsa-miR-513a-5p,CCND1
hsa-miR-516b-5p,CCND1
hsa-miR-518c-5p,CCND1
hsa-miR-5196-5p,CCND1
hsa-miR-519d-3p,CCND1
hsa-miR-520b,CCND1
hsa-miR-545-3p,CCND1
hsa-miR-548ah-5p,CCND1
hsa-miR-548k,CCND1
hsa-miR-556-5p,CCND1
hsa-miR-563,CCND1
hsa-miR-574-5p,CCND1
hsa-miR-593-3p,CCND1
hsa-miR-603,CCND1
hsa-miR-6511a-5p,CCND1
hsa-miR-708-5p,CCND1
hsa-miR-758-5p,CCND1
hsa-miR-875-3p,CCND1
hsa-miR-891b,CCND1
hsa-miR-92a-3p,CCND1
hsa-miR-93-5p,CCND1
hsa-miR-944,CCND1
hsa-miR-95-3p,CCND1
hsa-miR-9-5p,CCND1
hsa-miR-96-5p,CCND1
hsa-miR-98-5p,CCND1
hsa-let-7a-5p,CCND2
hsa-let-7b-5p,CCND2
hsa-miR-106b-5p,CCND2
hsa-miR-1200,CCND2
hsa-miR-1228-3p,CCND2
hsa-miR-124-3p,CCND2
hsa-miR-1248,CCND2
hsa-miR-1252-5p,CCND2
hsa-miR-1255a,CCND2
hsa-miR-1255b-5p,CCND2
hsa-miR-1297,CCND2
hsa-miR-130a-3p,CCND2
hsa-miR-130b-3p,CCND2
hsa-miR-154-5p,CCND2
hsa-miR-15a-5p,CCND2
hsa-miR-15b-5p,CCND2
hsa-miR-16-5p,CCND2
hsa-miR-17-5p,CCND2
hsa-miR-182-5p,CCND2
hsa-miR-185-5p,CCND2
hsa-miR-191-5p,CCND2
hsa-miR-195-5p,CCND2
hsa-miR-196a-5p,CCND2
hsa-miR-19a-3p,CCND2
hsa-miR-19b-3p,CCND2
hsa-miR-206,CCND2
hsa-miR-20a-5p,CCND2
hsa-miR-26a-5p,CCND2
hsa-miR-26b-5p,CCND2
hsa-miR-29a-3p,CCND2
hsa-miR-29b-3p,CCND2
hsa-miR-29c-3p,CCND2
hsa-miR-301a-3p,CCND2
hsa-miR-302a-3p,CCND2
hsa-miR-302b-3p,CCND2
hsa-miR-302c-3p,CCND2
hsa-miR-302d-3p,CCND2
hsa-miR-302e,CCND2
hsa-miR-30c-5p,CCND2
hsa-miR-320a,CCND2
hsa-miR-324-3p,CCND2
hsa-miR-335-5p,CCND2
hsa-miR-340-5p,CCND2
hsa-miR-342-3p,CCND2
hsa-miR-3613-3p,CCND2
hsa-miR-372-3p,CCND2
hsa-miR-373-3p,CCND2
hsa-miR-382-5p,CCND2
hsa-miR-3916,CCND2
hsa-miR-423-5p,CCND2
hsa-miR-424-5p,CCND2
hsa-miR-4516,CCND2
hsa-miR-4521,CCND2
hsa-miR-4524a-5p,CCND2
hsa-miR-454-3p,CCND2
hsa-miR-497-5p,CCND2
hsa-miR-503-5p,CCND2
hsa-miR-505-3p,CCND2
hsa-miR-519a-3p,CCND2
hsa-miR-519b-3p,CCND2
hsa-miR-519c-3p,CCND2
hsa-miR-520a-3p,CCND2
hsa-miR-520b,CCND2
hsa-miR-520c-3p,CCND2
hsa-miR-520d-3p,CCND2
hsa-miR-520e,CCND2
hsa-miR-603,CCND2
hsa-miR-610,CCND2
hsa-miR-615-3p,CCND2
hsa-miR-656-3p,CCND2
hsa-miR-665,CCND2
hsa-miR-765,CCND2
hsa-miR-877-5p,CCND2
hsa-miR-890,CCND2
hsa-miR-96-5p,CCND2
hsa-let-7c-5p,CRK
hsa-let-7e-5p,CRK
hsa-miR-106a-5p,CRK
hsa-miR-106b-5p,CRK
hsa-miR-10a-5p,CRK
hsa-miR-10b-5p,CRK
hsa-miR-1257,CRK
hsa-miR-125a-5p,CRK
hsa-miR-1260b,CRK
hsa-miR-126-3p,CRK
hsa-miR-127-5p,CRK
hsa-miR-1304-3p,CRK
hsa-miR-1306-5p,CRK
hsa-miR-132-3p,CRK
hsa-miR-135b-3p,CRK
hsa-miR-142-5p,CRK
hsa-miR-15a-5p,CRK
hsa-miR-15b-5p,CRK
hsa-miR-16-5p,CRK
hsa-miR-17-5p,CRK
hsa-miR-186-5p,CRK
hsa-miR-190a-3p,CRK
hsa-miR-1915-3p,CRK
hsa-miR-192-5p,CRK
hsa-miR-195-5p,CRK
hsa-miR-206,CRK
hsa-miR-20a-5p,CRK
hsa-miR-20b-5p,CRK
hsa-miR-215-5p,CRK
hsa-miR-216b-3p,CRK
hsa-miR-298,CRK
hsa-miR-302a-3p,CRK
hsa-miR-302b-3p,CRK
hsa-miR-302c-3p,CRK
hsa-miR-302d-3p,CRK
hsa-miR-302e,CRK
hsa-miR-30a-3p,CRK
hsa-miR-30e-3p,CRK
hsa-miR-3140-3p,CRK
hsa-miR-320a,CRK
hsa-miR-320b,CRK
hsa-miR-320c,CRK
hsa-miR-320d,CRK
hsa-miR-329-3p,CRK
hsa-miR-362-3p,CRK
hsa-miR-370-3p,CRK
hsa-miR-372-3p,CRK
hsa-miR-373-3p,CRK
hsa-miR-410-3p,CRK
hsa-miR-423-3p,CRK
hsa-miR-424-5p,CRK
hsa-miR-4284,CRK
