miRNA,Gene
hsa-let-7a-5p,ACTB
hsa-let-7b-5p,ACTB
hsa-let-7c-5p,ACTB
hsa-miR-100-5p,ACTB
hsa-miR-1200,ACTB
hsa-miR-124-3p,ACTB
hsa-miR-1275,ACTB
hsa-miR-127-5p,ACTB
hsa-miR-1295a,ACTB
hsa-miR-1303,ACTB
hsa-miR-1307-3p,ACTB
hsa-miR-145-5p,ACTB
hsa-miR-16-5p,ACTB
hsa-miR-196a-5p,ACTB
hsa-miR-19a-3p,ACTB
hsa-miR-19b-3p,ACTB
hsa-miR-216a-5p,ACTB
hsa-miR-218-5p,ACTB
hsa-miR-221-3p,ACTB
hsa-miR-222-3p,ACTB
hsa-miR-320a,ACTB
hsa-miR-324-5p,ACTB
hsa-miR-326,ACTB
hsa-miR-329-5p,ACTB
hsa-miR-33a-5p,ACTB
hsa-miR-33b-5p,ACTB
hsa-miR-3613-3p,ACTB
hsa-miR-382-3p,ACTB
hsa-miR-412-3p,ACTB
hsa-miR-450a-2-3p,ACTB
hsa-miR-450b-5p,ACTB
hsa-miR-455-3p,ACTB
hsa-miR-484,ACTB
hsa-miR-493-3p,ACTB
hsa-miR-5010-5p,ACTB
hsa-miR-506-3p,ACTB
hsa-miR-507,ACTB
hsa-miR-520g-3p,ACTB
hsa-miR-520h,ACTB
hsa-miR-524-3p,ACTB
hsa-miR-525-3p,ACTB
hsa-miR-544a,ACTB
hsa-miR-548aa,ACTB
hsa-miR-548d-3p,ACTB
hsa-miR-548h-3p,ACTB
hsa-miR-548l,ACTB
hsa-miR-548n,ACTB
hsa-miR-548t-3p,ACTB
hsa-miR-548z,ACTB
hsa-miR-605-5p,ACTB
hsa-miR-626,ACTB
hsa-miR-644a,ACTB
hsa-miR-744-5p,ACTB
hsa-miR-92a-3p,ACTB
hsa-let-7b-5p,ACTG1
hsa-miR-10a-5p,ACTG1
hsa-miR-10b-5p,ACTG1
hsa-miR-1180-3p,ACTG1
hsa-miR-1202,ACTG1
hsa-miR-1226-3p,ACTG1
hsa-miR-1307-3p,ACTG1
hsa-miR-149-5p,ACTG1
hsa-miR-16-5p,ACTG1
hsa-miR-193b-3p,ACTG1
hsa-miR-197-3p,ACTG1
hsa-miR-221-3p,ACTG1
hsa-miR-222-3p,ACTG1
hsa-miR-320a,ACTG1
hsa-miR-326,ACTG1
hsa-miR-331-3p,ACTG1
hsa-miR-342-3p,ACTG1
hsa-miR-34a-5p,ACTG1
hsa-miR-361-5p,ACTG1
hsa-miR-423-5p,ACTG1
hsa-miR-485-5p,ACTG1
hsa-miR-652-3p,ACTG1
hsa-miR-744-5p,ACTG1
hsa-miR-769-3p,ACTG1
hsa-miR-877-5p,ACTG1
hsa-miR-935,ACTG1
hsa-miR-99b-5p,ACTG1
hsa-miR-16-5p,ACTN1
hsa-miR-193b-3p,ACTN1
hsa-miR-218-5p,ACTN1
hsa-miR-615-3p,ACTN1
hsa-let-7b-5p,ACTN4
hsa-let-7c-5p,ACTN4
hsa-miR-1180-5p,ACTN4
hsa-miR-1226-3p,ACTN4
hsa-miR-142-5p,ACTN4
hsa-miR-16-5p,ACTN4
hsa-miR-182-5p,ACTN4
hsa-miR-185-5p,ACTN4
hsa-miR-193a-3p,ACTN4
hsa-miR-193b-3p,ACTN4
hsa-miR-23a-3p,ACTN4
hsa-miR-23b-3p,ACTN4
hsa-miR-26a-5p,ACTN4
hsa-miR-296-3p,ACTN4
hsa-miR-301a-5p,ACTN4
hsa-miR-320a,ACTN4
hsa-miR-324-3p,ACTN4
hsa-miR-324-5p,ACTN4
hsa-miR-339-5p,ACTN4
hsa-miR-374a-5p,ACTN4
hsa-miR-548a-5p,ACTN4
hsa-miR-548ak,ACTN4
hsa-miR-548am-5p,ACTN4
hsa-miR-548ar-5p,ACTN4
hsa-miR-548c-5p,ACTN4
hsa-miR-548d-5p,ACTN4
hsa-miR-548h-5p,ACTN4
hsa-miR-548i,ACTN4
hsa-miR-548j-5p,ACTN4
hsa-miR-548k,ACTN4
hsa-miR-548l,ACTN4
hsa-miR-548o-5p,ACTN4
hsa-miR-548y,ACTN4
hsa-miR-605-5p,ACTN4
hsa-miR-615-3p,ACTN4
hsa-miR-6511a-3p,ACTN4
hsa-miR-652-3p,ACTN4
hsa-miR-744-5p,ACTN4
hsa-miR-769-5p,ACTN4
hsa-miR-92b-3p,ACTN4
hsa-miR-935,ACTN4
hsa-miR-96-5p,ACTN4
hsa-miR-1180-5p,ADAM9
hsa-miR-1228-3p,ADAM9
hsa-miR-125a-5p,ADAM9
hsa-miR-126-3p,ADAM9
hsa-miR-23a-3p,ADAM9
hsa-miR-26b-5p,ADAM9
hsa-miR-30a-5p,ADAM9
hsa-miR-30b-5p,ADAM9
hsa-miR-30c-5p,ADAM9
hsa-miR-30d-5p,ADAM9
hsa-miR-30e-5p,ADAM9
hsa-miR-329-3p,ADAM9
hsa-miR-362-3p,ADAM9
hsa-miR-373-3p,ADAM9
hsa-miR-543,ADAM9
hsa-miR-603,ADAM9
hsa-miR-100-5p,AKT1
hsa-miR-105-5p,AKT1
hsa-miR-125b-5p,AKT1
hsa-miR-133b,AKT1
hsa-miR-143-3p,AKT1
hsa-miR-155-5p,AKT1
hsa-miR-185-5p,AKT1
hsa-miR-188-5p,AKT1
hsa-miR-193b-3p,AKT1
hsa-miR-199a-3p,AKT1
hsa-miR-19a-3p,AKT1
hsa-miR-26b-5p,AKT1
hsa-miR-302a-3p,AKT1
hsa-miR-302b-3p,AKT1
hsa-miR-302c-3p,AKT1
hsa-miR-302d-3p,AKT1
hsa-miR-326,AKT1
hsa-miR-330-5p,AKT1
hsa-miR-365a-3p,AKT1
hsa-miR-365b-3p,AKT1
hsa-miR-378b,AKT1
hsa-miR-378c,AKT1
hsa-miR-378d,AKT1
hsa-miR-378e,AKT1
hsa-miR-378f,AKT1
hsa-miR-378h,AKT1
hsa-miR-378i,AKT1
hsa-miR-422a,AKT1
hsa-miR-451a,AKT1
hsa-miR-496,AKT1
hsa-miR-518c-5p,AKT1
hsa-miR-6503-3p,AKT1
hsa-miR-654-3p,AKT1
hsa-miR-708-5p,AKT1
hsa-let-7b-5p,AKT2
hsa-let-7g-5p,AKT2
hsa-miR-124-3p,AKT2
hsa-miR-126-3p,AKT2
hsa-miR-1296-5p,AKT2
hsa-miR-137,AKT2
hsa-miR-149-5p,AKT2
hsa-miR-151a-5p,AKT2
hsa-miR-151b,AKT2
hsa-miR-184,AKT2
hsa-miR-21-5p,AKT2
hsa-miR-29a-3p,AKT2
hsa-miR-29b-3p,AKT2
hsa-miR-29c-3p,AKT2
hsa-miR-302b-3p,AKT2
hsa-miR-423-3p,AKT2
hsa-miR-612,AKT2
hsa-miR-708-5p,AKT2
hsa-miR-744-5p,AKT2
hsa-miR-122-5p,AKT3
hsa-miR-124-3p,AKT3
hsa-miR-146b-5p,AKT3
hsa-miR-15a-5p,AKT3
hsa-miR-15b-5p,AKT3
hsa-miR-16-5p,AKT3
hsa-miR-195-5p,AKT3
hsa-miR-221-3p,AKT3
hsa-miR-222-3p,AKT3
hsa-miR-297,AKT3
hsa-miR-29c-3p,AKT3
hsa-miR-361-5p,AKT3
hsa-miR-374a-3p,AKT3
hsa-miR-424-5p,AKT3
hsa-miR-4524a-5p,AKT3
hsa-miR-497-5p,AKT3
hsa-miR-503-5p,AKT3
hsa-miR-5196-3p,AKT3
hsa-miR-519d-3p,AKT3
hsa-miR-520g-3p,AKT3
hsa-miR-520h,AKT3
hsa-miR-545-3p,AKT3
hsa-miR-567,AKT3
hsa-miR-595,AKT3
hsa-miR-7-5p,AKT3
hsa-miR-873-5p,AKT3
hsa-miR-106b-5p,APC
hsa-miR-129-5p,APC
hsa-miR-135a-5p,APC
hsa-miR-135b-5p,APC
hsa-miR-142-3p,APC
hsa-miR-148a-3p,APC
hsa-miR-155-5p,APC
hsa-miR-186-5p,APC
hsa-miR-192-5p,APC
hsa-miR-210-3p,APC
hsa-miR-215-5p,APC
hsa-miR-21-5p,APC
hsa-miR-218-5p,APC
hsa-miR-27a-3p,APC
hsa-miR-663a,APC
hsa-miR-148b-5p,APC2
hsa-miR-361-3p,APC2
hsa-miR-124-3p,ARAF
hsa-miR-331-3p,ARAF
hsa-miR-103a-3p,ASH1L
hsa-miR-107,ASH1L
hsa-miR-1271-5p,ASH1L
hsa-miR-154-5p,ASH1L
hsa-miR-15a-5p,ASH1L
hsa-miR-15b-5p,ASH1L
hsa-miR-16-5p,ASH1L
hsa-miR-17-5p,ASH1L
hsa-miR-183-5p,ASH1L
hsa-miR-185-5p,ASH1L
hsa-miR-190a-3p,ASH1L
hsa-miR-193b-3p,ASH1L
hsa-miR-195-5p,ASH1L
hsa-miR-214-3p,ASH1L
hsa-miR-302f,ASH1L
hsa-miR-3140-3p,ASH1L
hsa-miR-3179,ASH1L
hsa-miR-329-3p,ASH1L
hsa-miR-361-5p,ASH1L
hsa-miR-362-3p,ASH1L
hsa-miR-377-3p,ASH1L
hsa-miR-3934-5p,ASH1L
hsa-miR-424-5p,ASH1L
hsa-miR-4524a-5p,ASH1L
hsa-miR-497-5p,ASH1L
hsa-miR-503-5p,ASH1L
hsa-miR-514a-3p,ASH1L
hsa-miR-514b-3p,ASH1L
hsa-miR-548aa,ASH1L
hsa-miR-548ah-3p,ASH1L
hsa-miR-548j-3p,ASH1L
hsa-miR-548t-3p,ASH1L
hsa-miR-574-5p,ASH1L
hsa-miR-603,ASH1L
hsa-miR-625-5p,ASH1L
hsa-miR-627-3p,ASH1L
hsa-miR-651-3p,ASH1L
hsa-miR-656-3p,ASH1L
hsa-miR-761,ASH1L
hsa-miR-96-5p,ASH1L
hsa-miR-218-5p,AXIN1
hsa-miR-320a,AXIN1
hsa-miR-320c,AXIN1
hsa-miR-335-5p,AXIN1
hsa-miR-484,AXIN1
hsa-miR-769-3p,AXIN1
hsa-miR-92a-3p,AXIN1
hsa-miR-103a-3p,AXIN2
hsa-miR-107,AXIN2
hsa-miR-15a-5p,AXIN2
hsa-miR-15b-5p,AXIN2
hsa-miR-16-5p,AXIN2
hsa-miR-195-5p,AXIN2
hsa-miR-208a-3p,AXIN2
hsa-miR-208b-3p,AXIN2
hsa-miR-2278,AXIN2
hsa-miR-34a-5p,AXIN2
hsa-miR-34c-3p,AXIN2
hsa-miR-424-5p,AXIN2
hsa-miR-497-5p,AXIN2
hsa-miR-499a-5p,AXIN2
hsa-miR-641,AXIN2
hsa-miR-330-5p,BAD
hsa-miR-455-3p,BAIAP2
hsa-miR-105-5p,BCAR1
hsa-miR-139-3p,BCAR1
hsa-miR-509-3p,BCAR1
hsa-miR-522-3p,BCAR1
hsa-miR-548aa,BCAR1
hsa-miR-548t-3p,BCAR1
hsa-let-7a-5p,BCL2
hsa-miR-103a-3p,BCL2
hsa-miR-125b-5p,BCL2
hsa-miR-126-3p,BCL2
hsa-miR-135a-5p,BCL2
hsa-miR-136-5p,BCL2
hsa-miR-143-3p,BCL2
hsa-miR-148a-3p,BCL2
hsa-miR-153-3p,BCL2
hsa-miR-15a-5p,BCL2
hsa-miR-15b-5p,BCL2
hsa-miR-16-5p,BCL2
hsa-miR-17-5p,BCL2
hsa-miR-181a-5p,BCL2
hsa-miR-181b-5p,BCL2
hsa-miR-181c-5p,BCL2
hsa-miR-181d-5p,BCL2
hsa-miR-182-5p,BCL2
hsa-miR-184,BCL2
hsa-miR-18a-5p,BCL2
hsa-miR-1915-3p,BCL2
hsa-miR-192-5p,BCL2
hsa-miR-195-5p,BCL2
hsa-miR-196b-5p,BCL2
hsa-miR-200b-3p,BCL2
hsa-miR-200c-3p,BCL2
hsa-miR-204-5p,BCL2
hsa-miR-205-5p,BCL2
hsa-miR-206,BCL2
hsa-miR-20a-5p,BCL2
hsa-miR-211-5p,BCL2
hsa-miR-215-5p,BCL2
hsa-miR-21-5p,BCL2
hsa-miR-224-5p,BCL2
hsa-miR-29a-3p,BCL2
hsa-miR-29b-3p,BCL2
hsa-miR-29c-3p,BCL2
hsa-miR-30b-5p,BCL2
hsa-miR-33b-5p,BCL2
hsa-miR-34a-5p,BCL2
hsa-miR-34b-3p,BCL2
hsa-miR-34c-5p,BCL2
hsa-miR-365a-3p,BCL2
hsa-miR-375,BCL2
hsa-miR-429,BCL2
hsa-miR-448,BCL2
hsa-miR-449a,BCL2
hsa-miR-451a,BCL2
hsa-miR-494-3p,BCL2
hsa-miR-497-5p,BCL2
hsa-miR-503-5p,BCL2
hsa-miR-630,BCL2
hsa-miR-708-5p,BCL2
hsa-miR-7-5p,BCL2
hsa-miR-96-5p,BCL2
hsa-miR-15a-5p,BHLHE40
hsa-miR-15b-5p,BHLHE40
hsa-miR-16-5p,BHLHE40
hsa-miR-1915-3p,BHLHE40
hsa-miR-195-5p,BHLHE40
hsa-miR-3140-5p,BHLHE40
hsa-miR-329-3p,BHLHE40
hsa-miR-335-5p,BHLHE40
hsa-miR-345-3p,BHLHE40
hsa-miR-362-3p,BHLHE40
hsa-miR-374a-5p,BHLHE40
hsa-miR-454-3p,BHLHE40
hsa-miR-483-3p,BHLHE40
hsa-miR-603,BHLHE40
hsa-miR-767-3p,BHLHE40
hsa-miR-941,BHLHE40
hsa-miR-143-3p,BRAF
hsa-miR-145-5p,BRAF
hsa-miR-191-5p,BRAF
hsa-miR-744-5p,BRAF
hsa-miR-15a-5p,CASK
hsa-miR-15b-5p,CASK
hsa-miR-16-5p,CASK
hsa-miR-195-5p,CASK
hsa-miR-424-5p,CASK
hsa-miR-4524a-5p,CASK
hsa-miR-497-5p,CASK
hsa-miR-503-5p,CASK
hsa-let-7a-5p,CCND1
hsa-let-7b-5p,CCND1
hsa-let-7c-5p,CCND1
hsa-let-7d-5p,CCND1
hsa-let-7e-5p,CCND1
hsa-let-7f-5p,CCND1
hsa-let-7g-5p,CCND1
hsa-let-7i-5p,CCND1
hsa-miR-106a-5p,CCND1
hsa-miR-106b-5p,CCND1
hsa-miR-1193,CCND1
hsa-miR-1234-3p,CCND1
hsa-miR-1253,CCND1
hsa-miR-1257,CCND1
hsa-miR-1271-5p,CCND1
hsa-miR-1299,CCND1
hsa-miR-138-5p,CCND1
hsa-miR-142-5p,CCND1
hsa-miR-147a,CCND1
hsa-miR-152-3p,CCND1
hsa-miR-155-5p,CCND1
hsa-miR-15a-5p,CCND1
hsa-miR-15b-5p,CCND1
hsa-miR-16-5p,CCND1
hsa-miR-17-5p,CCND1
hsa-miR-183-5p,CCND1
hsa-miR-18a-5p,CCND1
hsa-miR-18b-5p,CCND1
hsa-miR-1910-3p,CCND1
hsa-miR-193b-3p,CCND1
hsa-miR-195-5p,CCND1
hsa-miR-196a-5p,CCND1
hsa-miR-19a-3p,CCND1
hsa-miR-202-3p,CCND1
hsa-miR-206,CCND1
hsa-miR-20a-5p,CCND1
hsa-miR-20b-5p,CCND1
hsa-miR-216b-3p,CCND1
hsa-miR-24-3p,CCND1
hsa-miR-26b-5p,CCND1
hsa-miR-27a-3p,CCND1
hsa-miR-298,CCND1
hsa-miR-29a-3p,CCND1
hsa-miR-302a-3p,CCND1
hsa-miR-302c-3p,CCND1
hsa-miR-323b-3p,CCND1
hsa-miR-326,CCND1
hsa-miR-330-5p,CCND1
hsa-miR-340-5p,CCND1
hsa-miR-34a-5p,CCND1
hsa-miR-34b-3p,CCND1
hsa-miR-365a-3p,CCND1
hsa-miR-369-3p,CCND1
hsa-miR-374a-5p,CCND1
hsa-miR-374b-5p,CCND1
hsa-miR-383-5p,CCND1
hsa-miR-424-5p,CCND1
hsa-miR-4458,CCND1
hsa-miR-448,CCND1
hsa-miR-449a,CCND1
hsa-miR-4524a-5p,CCND1
hsa-miR-490-3p,CCND1
hsa-miR-491-3p,CCND1
hsa-miR-494-3p,CCND1
hsa-miR-497-5p,CCND1
hsa-miR-5010-3p,CCND1
hsa-miR-503-5p,CCND1
hsa-miR-513a-5p,CCND1
hsa-miR-516b-5p,CCND1
hsa-miR-518c-5p,CCND1
hsa-miR-5196-5p,CCND1
hsa-miR-519d-3p,CCND1
hsa-miR-520b,CCND1
hsa-miR-545-3p,CCND1
hsa-miR-548ah-5p,CCND1
hsa-miR-548k,CCND1
hsa-miR-556-5p,CCND1
hsa-miR-563,CCND1
hsa-miR-574-5p,CCND1
hsa-miR-593-3p,CCND1
hsa-miR-603,CCND1
hsa-miR-6511a-5p,CCND1
hsa-miR-708-5p,CCND1
hsa-miR-758-5p,CCND1
hsa-miR-875-3p,CCND1
hsa-miR-891b,CCND1
hsa-miR-92a-3p,CCND1
hsa-miR-93-5p,CCND1
hsa-miR-944,CCND1
hsa-miR-95-3p,CCND1
hsa-miR-9-5p,CCND1
hsa-miR-96-5p,CCND1
hsa-miR-98-5p,CCND1
hsa-let-7a-5p,CCND2
hsa-let-7b-5p,CCND2
hsa-miR-106b-5p,CCND2
hsa-miR-1200,CCND2
hsa-miR-1228-3p,CCND2
hsa-miR-124-3p,CCND2
hsa-miR-1248,CCND2
hsa-miR-1252-5p,CCND2
hsa-miR-1255a,CCND2
hsa-miR-1255b-5p,CCND2
hsa-miR-1297,CCND2
hsa-miR-130a-3p,CCND2
hsa-miR-130b-3p,CCND2
hsa-miR-154-5p,CCND2
hsa-miR-15a-5p,CCND2
hsa-miR-15b-5p,CCND2
hsa-miR-16-5p,CCND2
hsa-miR-17-5p,CCND2
hsa-miR-182-5p,CCND2
hsa-miR-185-5p,CCND2
hsa-miR-191-5p,CCND2
hsa-miR-195-5p,CCND2
hsa-miR-196a-5p,CCND2
hsa-miR-19a-3p,CCND2
hsa-miR-19b-3p,CCND2
hsa-miR-206,CCND2
hsa-miR-20a-5p,CCND2
hsa-miR-26a-5p,CCND2
hsa-miR-26b-5p,CCND2
hsa-miR-29a-3p,CCND2
hsa-miR-29b-3p,CCND2
hsa-miR-29c-3p,CCND2
hsa-miR-301a-3p,CCND2
hsa-miR-302a-3p,CCND2
hsa-miR-302b-3p,CCND2
hsa-miR-302c-3p,CCND2
hsa-miR-302d-3p,CCND2
hsa-miR-302e,CCND2
hsa-miR-30c-5p,CCND2
hsa-miR-320a,CCND2
hsa-miR-324-3p,CCND2
hsa-miR-335-5p,CCND2
hsa-miR-340-5p,CCND2
hsa-miR-342-3p,CCND2
hsa-miR-3613-3p,CCND2
hsa-miR-372-3p,CCND2
hsa-miR-373-3p,CCND2
hsa-miR-382-5p,CCND2
hsa-miR-3916,CCND2
hsa-miR-423-5p,CCND2
hsa-miR-424-5p,CCND2
hsa-miR-4516,CCND2
hsa-miR-4521,CCND2
hsa-miR-4524a-5p,CCND2
hsa-miR-454-3p,CCND2
hsa-miR-497-5p,CCND2
hsa-miR-503-5p,CCND2
hsa-miR-505-3p,CCND2
hsa-miR-519a-3p,CCND2
hsa-miR-519b-3p,CCND2
hsa-miR-519c-3p,CCND2
hsa-miR-520a-3p,CCND2
hsa-miR-520b,CCND2
hsa-miR-520c-3p,CCND2
hsa-miR-520d-3p,CCND2
hsa-miR-520e,CCND2
hsa-miR-603,CCND2
hsa-miR-610,CCND2
hsa-miR-615-3p,CCND2
hsa-miR-656-3p,CCND2
hsa-miR-665,CCND2
hsa-miR-765,CCND2
hsa-miR-877-5p,CCND2
hsa-miR-890,CCND2
hsa-miR-96-5p,CCND2
hsa-let-7b-5p,CCND3
hsa-miR-138-5p,CCND3
hsa-miR-16-5p,CCND3
hsa-miR-1909-3p,CCND3
hsa-miR-195-5p,CCND3
hsa-miR-218-5p,CCND3
hsa-miR-27b-3p,CCND3
hsa-miR-28-5p,CCND3
hsa-miR-324-5p,CCND3
hsa-miR-34a-5p,CCND3
hsa-miR-424-5p,CCND3
hsa-miR-497-5p,CCND3
hsa-miR-503-5p,CCND3
hsa-miR-615-3p,CCND3
